"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"White","Male","Finance and Administrative Service","38","66.88","R","Active"
"Asian","Female","Office of Arts and Culture","54","48.58","R","Active"
"White","Female","Seattle Public Library","50","52.57","R","Active"
"White","Female","Seattle Police Department","27","62.17","R","Active"
"White","Male","Seattle Police Department","61","67.46","R","Active"
"White","Male","Seattle Fire Department","48","55.42","R","Active"
"White","Male","Seattle Fire Department","53","52.94","R","Active"
"White","Male","Seattle Police Department","57","141.71","R","Active"
"American Indian or Alaska Native","Male","Seattle City Light","34","36.63","R","Active"
"White","Male","Parks and Recreation Department","65","102.04","R","Active"
"White","Male","Construction and Inspections","52","73.38","R","Active"
"White","Female","Seattle City Light","55","41.59","R","Active"
"White","Female","Parks and Recreation Department","33","46.40","R","Active"
"Black or African American","Female","Finance and Administrative Service","62","46.63","R","Active"
"White","Female","Human Services","62","51.62","R","Active"
"White","Male","Parks and Recreation Department","45","53.27","R","Active"
"Asian","Male","Seattle Public Library","40","59.55","R","Active"
"Asian","Male","Seattle Fire Department","45","68.40","R","Active"
"Hispanic or Latino/a/x","Female","Construction and Inspections","39","64.19","R","Active"
"White","Male","Information Technology","63","83.90","R","Active"
"Not Specified","Male","Seattle City Light","57","60.99","R","Active"
"Black or African American","Female","Seattle Police Department","54","63.26","R","Active"
"Asian","Male","Seattle Police Department","45","53.39","R","Active"
"White","Male","Seattle Department of Transportation","28","65.01","R","Active"
"White","Male","Seattle City Light","44","77.36","R","Active"
"White","Male","Seattle Municipal Courts","53","33.73","R","Active"
"Two or More Races","Female","Construction and Inspections","43","75.84","R","Active"
"White","Male","Seattle Police Department","43","65.58","R","Active"
"Black or African American","Male","Construction and Inspections","41","76.02","R","Active"
"White","Male","Seattle Police Department","32","67.46","R","Active"
"White","Female","Seattle City Light","45","91.55","R","Active"
"White","Female","Office of Economic Development and Special Events Office","28","41.62","R","Active"
"White","Male","Seattle City Light","42","63.19","R","Active"
"White","Male","Seattle Fire Department","29","49.48","R","Active"
"Asian","Male","Seattle City Light","57","72.26","R","Active"
"White","Male","Parks and Recreation Department","36","53.27","R","Active"
"Not Specified","Male","Seattle City Light","38","77.36","R","Active"
"White","Male","Finance and Administrative Service","29","49.46","R","Active"
"Asian","Male","Information Technology","56","70.68","R","Leave with Pay"
"White","Male","Seattle City Light","40","70.40","R","Active"
"Two or More Races","Female","Seattle Police Department","33","67.79","R","Active"
"White","Male","Human Services","48","94.10","R","Active"
"Black or African American","Female","Parks and Recreation Department","34","25.98","T","Active"
"White","Male","Finance and Administrative Service","39","74.43","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","54","36.63","R","Active"
"Not Specified","Male","Parks and Recreation Department","31","44.64","R","Active"
"White","Male","Seattle Fire Department","51","55.91","R","Active"
"White","Female","Seattle Public Library","49","52.57","R","Active"
"Black or African American","Female","Seattle City Light","57","45.92","R","Active"
"Black or African American","Female","Construction and Inspections","39","51.29","R","Active"
"White","Female","Seattle Public Utilities","67","46.63","R","Leave with Pay"
"White","Female","Planning and Community Office","38","69.00","R","Active"
"Asian","Male","Community Safety and Communication Center","37","60.59","R","Active"
"Two or More Races","Male","Construction and Inspections","43","63.26","R","Active"
"White","Male","Seattle Public Utilities","57","77.01","R","Active"
"White","Female","Education and Early Learning","46","47.37","R","Active"
"White","Female","Neighborhoods","28","67.00","R","Active"
"White","Female","Law Department","53","86.82","R","Active"
"White","Female","Seattle Public Utilities","38","43.36","R","Leave with Pay"
"White","Male","Seattle Police Department","40","77.63","R","Active"
"Asian","Female","Neighborhoods","67","60.71","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Library","34","32.83","R","Active"
"Asian","Male","Seattle Fire Department","51","58.63","R","Active"
"White","Female","Seattle Fire Department","47","57.89","R","Active"
"White","Male","Seattle City Light","66","180.16","R","Active"
"Black or African American","Male","Parks and Recreation Department","60","44.45","R","Active"
"White","Male","Seattle Police Department","36","68.43","R","Active"
"White","Male","Seattle Public Utilities","40","54.28","T","Active"
"White","Female","Finance and Administrative Service","52","78.48","R","Active"
"White","Male","Seattle Public Utilities","63","45.18","R","Active"
"White","Male","Seattle City Light","60","83.49","R","Active"
"Black or African American","Female","Seattle Public Library","52","52.57","R","Leave with Pay"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","31","49.48","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","42","43.72","R","Active"
"White","Male","Seattle Department of Transportation","37","90.85","R","Active"
"Asian","Male","Information Technology","53","75.93","R","Active"
"Asian","Female","Seattle Department of Transportation","63","89.61","R","Active"
"White","Male","Seattle Fire Department","53","52.94","R","Active"
"White","Male","Seattle Department of Transportation","51","85.48","R","Active"
"White","Male","Seattle Department of Transportation","39","49.46","R","Active"
"White","Male","Seattle Public Utilities","28","44.33","R","Active"
"White","Male","Human Resources","36","65.62","R","Leave with Pay"
"Not Specified","Male","Seattle Public Utilities","31","42.97","R","Active"
"White","Male","Parks and Recreation Department","71","25.98","T","Active"
"White","Male","Seattle City Light","39","63.26","R","Active"
"Two or More Races","Male","Seattle Fire Department","34","49.48","R","Active"
"White","Male","Seattle Police Department","32","67.46","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Library","34","56.70","R","Active"
"White","Male","Seattle Public Utilities","44","85.93","R","Active"
"Black or African American","Male","Seattle Police Department","34","59.25","R","Active"
"Asian","Female","Seattle City Light","40","36.17","R","Active"
"White","Male","Seattle Police Department","43","77.63","R","Active"
"White","Female","Seattle Department of Transportation","53","51.29","R","Active"
"Two or More Races","Female","Parks and Recreation Department","20","25.98","T","Active"
"Black or African American","Male","Seattle Department of Transportation","33","67.91","R","Active"
"White","Male","Seattle Police Department","45","77.63","R","Active"
"Asian","Male","Seattle Police Department","39","68.43","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","38","39.24","R","Leave with Pay"
"White","Female","Seattle Police Department","55","63.26","R","Leave with Pay"
"White","Female","Seattle City Light","48","81.93","R","Active"
"White","Female","Seattle City Light","58","51.29","R","Active"
"Not Specified","Male","Seattle Public Utilities","43","84.28","R","Active"
"American Indian or Alaska Native","Male","Economic and Revenue Forecasts","27","59.02","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","59","65.43","R","Active"
"White","Female","Human Services","39","63.26","R","Active"
"White","Male","Parks and Recreation Department","55","76.05","R","Active"
"Two or More Races","Female","Seattle Public Library","35","37.61","R","Leave with Pay"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","55","80.60","R","Active"
"Asian","Female","Finance and Administrative Service","33","38.21","R","Active"
"White","Female","Seattle Police Department","55","69.09","R","Active"
"Black or African American","Female","Parks and Recreation Department","51","38.55","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","42","55.02","R","Active"
"White","Male","Construction and Inspections","54","76.02","R","Active"
"White","Male","Seattle City Light","50","77.36","R","Active"
"White","Male","Seattle City Light","56","103.22","R","Active"
"White","Female","Human Services","30","46.11","R","Active"
"Two or More Races","Female","Seattle Public Utilities","51","67.91","R","Active"
"White","Non-Specified","Seattle Public Library","34","52.57","R","Active"
"Asian","Male","Planning and Community Office","37","65.04","R","Active"
"Black or African American","Female","Seattle Police Department","40","63.26","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","52","52.01","R","Active"
"White","Female","Neighborhoods","49","72.01","R","Active"
"White","Female","Human Services","29","55.77","R","Active"
"White","Male","Seattle Public Utilities","34","73.30","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","46","41.46","R","Active"
"White","Female","Community Safety and Communication Center","26","42.94","R","Active"
"White","Female","Neighborhoods","40","53.27","R","Leave with Pay"
"Asian","Male","Seattle Police Department","69","77.89","R","Active"
"White","Male","Seattle Police Department","49","53.68","R","Active"
"Asian","Male","Seattle Public Utilities","44","53.27","R","Active"
"White","Female","Seattle Department of Transportation","32","53.23","R","Active"
"White","Male","Seattle Public Utilities","59","90.85","R","Active"
"White","Female","Seattle Department of Transportation","61","39.21","R","Active"
"White","Male","Seattle City Light","56","57.10","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","62","36.63","R","Leave with Pay"
